fecha,M1 (datos),M2 (datos),Log_M1,Log_M2,45_degree_line
2022-06-01,6459704343.15,11641724836.25,22.588849386379323,23.177861450080282,22.506380110900984
2022-07-01,6511144564.68,11798166561.24,22.596781094100095,23.191209980179803,22.515608249310578
2022-08-01,6447116014.31,11788024400.27,22.58689873819752,23.190349971744215,22.52483638772017
2022-09-01,6436513271.79,11886203984.48,22.585252813019423,23.198644235486846,22.534064526129768
2022-10-01,6488318838.89,12011680592.18,22.59326929541426,23.20914539598635,22.54329266453936
2022-11-01,6602502771.21,12171309335.25,22.61071462185679,23.222347325278736,22.55252080294896
2022-12-01,6926065214.59,12515612424.98,22.658557698791927,23.250242695908927,22.56174894135855
2023-01-01,6670315372.97,12354753948.2,22.62093297806052,23.237306761028822,22.57097707976815
2023-02-01,6639864718.36,12344729453.13,22.616357426486243,23.236495044001582,22.580205218177742
2023-03-01,6650740110.32,12427587659.99,22.617993980206332,23.243184649618946,22.58943335658734
2023-04-01,6674672356.47,12492380715.3,22.621585954854975,23.248384752631942,22.598661494996932
2023-05-01,6679350987.58,12552103030.69,22.622286662226962,23.25315406065209,22.60788963340653
2023-06-01,6741457180.83,12748965990.76,22.631541937439206,23.26871600649824,22.617117771816122
2023-07-01,6810745353.5,12831420851.97,22.64176740097179,23.275162753944965,22.62634591022572
2023-08-01,6811960060.91,12878461469.08,22.641945736680633,23.278822099329375,22.635574048635313
2023-09-01,6850744488.66,12986798581.68,22.647623167790726,23.287199184727946,22.64480218704491
2023-10-01,6953980120.62,13170781057.5,22.66258001183084,23.301266656751736,22.654030325454503
2023-11-01,7109144829.09,13407036973.97,22.684647796325144,23.319045553372877,22.663258463864096
2023-12-01,7442319163.22,13656138124.11,22.73044835270479,23.337454936923866,22.672486602273693
2024-01-01,7281862183.76,13666992284.62,22.708652460917705,23.338249440402684,22.681714740683287
2024-02-01,7422935452.25,13884032685.3,22.72784042940209,23.35400528911345,22.690942879092884
2024-03-01,7445688555.91,13929171629.65,22.730900984488855,23.35725115632598,22.700171017502477
2024-04-01,7344490797.92,13968494514.17,22.717216317813726,23.36007023877966,22.709399155912074
2024-05-01,7417060185.55,14127074876.56,22.72704861420883,23.371358997106814,22.718627294321667
2024-06-01,7509316809.57,14292507103.54,22.739410327821382,23.383001258113996,22.727855432731264
2024-07-01,7517595351.23,14404271328.37,22.74051215664808,23.39079061957104,22.737083571140857
2024-08-01,7612111603.65,14547667523.91,22.753006447813824,23.40069651007822,22.746311709550454
2024-09-01,7631420576.65,14630008868.31,22.755539847960048,23.406340658151194,22.755539847960048
